PERMIT_TYPE,APP_YR,APP_NUM,ISSUEDATE,STATUSDATE,STATUS,ADDRESS,Lon,Lat
BR11,1,289,02/08/2001,06/15/2001,C.O. ISSUED,4502 TRILAND WAY,35.692002222,-78.79000018
BR11,1,330,02/08/2001,10/11/2001,C.O. ISSUED,116 HAMILTON HEDGE PL,35.822580276,-78.86197476
BR11,0,5043,02/09/2001,10/08/2001,C.O. ISSUED,102 CREEKBURY CT,35.818277494,-78.90743891
BR11,1,189,02/09/2001,09/25/2001,C.O. ISSUED,305 WAYFIELD LN,35.695370373,-78.7993853
BR11,1,365,02/09/2001,10/31/2001,C.O. ISSUED,6750 GOOD HOPE CHURCH RD,35.82828692,-78.87279716
BR11,1,380,02/09/2001,07/27/2001,C.O. ISSUED,601 BARRET MANOR CT,35.8113928,-78.80704504
BR11,1,381,02/09/2001,09/24/2001,C.O. ISSUED,604 BARRET MANOR CT,35.812036618,-78.80744717
BR11,1,308,02/12/2001,07/19/2001,C.O. ISSUED,204 CAPISTRANE DR,35.784045291,-78.87442598
BR11,1,458,02/12/2001,08/13/2001,C.O. ISSUED,105 KEATING PL,35.693368267,-78.79526138
BR11,1,459,02/12/2001,08/01/2001,C.O. ISSUED,1000 AUGUSTINE TRL,35.69389928,-78.79415422
BR11,0,5024,02/15/2001,12/04/2001,C.O. ISSUED,228 WALFORD WAY,35.814198493,-78.90744092
BR11,1,272,02/16/2001,07/30/2001,C.O. ISSUED,303 LINDEMANS DR,35.7950506,-78.88212476
BR11,1,372,02/16/2001,08/10/2001,C.O. ISSUED,102 TAVERNELLE PL,35.795433572,-78.88447667
BR11,1,377,02/16/2001,06/08/2001,C.O. ISSUED,416 HALLS MILL DR,35.768990791,-78.84891416
BR11,1,378,02/16/2001,06/14/2001,C.O. ISSUED,418 HALLS MILL DR,35.768975259,-78.84918139
BR11,1,379,02/16/2001,06/08/2001,C.O. ISSUED,420 HALLS MILL DR,35.768972696,-78.84944151
BR11,1,414,02/16/2001,02/19/2002,C.O. ISSUED,707 RED TOP HILLS CT,35.812266571,-78.80649588
BR11,1,421,02/16/2001,03/13/2002,C.O. ISSUED,605 BARRET MANOR CT,35.811552458,-78.80769353
BR11,1,441,02/16/2001,10/24/2001,C.O. ISSUED,206 LINDEMANS DR,35.796367881,-78.88277513
BR11,1,493,02/16/2001,08/01/2001,C.O. ISSUED,4509 TRILAND WAY,35.693029845,-78.79046423
BR11,1,257,02/19/2001,10/18/2001,C.O. ISSUED,115 DARBY GALE DR,35.70688369,-78.798394
BR11,1,269,02/19/2001,05/14/2002,C.O. ISSUED,100 MORRIS BRANCH CT,35.819156435,-78.90932716
BR11,1,457,02/19/2001,08/13/2001,C.O. ISSUED,202 FARADAY CT,35.692913172,-78.79138648
BR11,1,521,02/19/2001,06/29/2001,C.O. ISSUED,2016 AMBROSE PARK LN,35.69518952,-78.79258633
BR11,1,539,02/19/2001,08/05/2002,C.O. ISSUED,2009 AMBROSE PARK LN,35.694579411,-78.79339141
BR11,1,556,02/19/2001,07/18/2001,C.O. ISSUED,4400 TRILAND WAY,35.690886172,-78.79010914
BR11,1,392,02/20/2001,07/19/2001,C.O. ISSUED,307 BILLINGRATH TURN LN,35.770143119,-78.85919931
BR11,1,450,02/20/2001,10/05/2001,C.O. ISSUED,207 WALFORD WAY,35.815619941,-78.90777127
BR11,1,194,02/21/2001,09/18/2001,C.O. ISSUED,102 WHEATSBURY DR,35.782969768,-78.84297945
BR11,1,522,02/22/2001,10/02/2001,C.O. ISSUED,101 HEMINGFORD GREY CT,35.690495608,-78.79068116
BR11,1,357,02/26/2001,10/31/2001,C.O. ISSUED,102 MORGANFORD PL,35.694793297,-78.80013456
BR11,1,476,02/26/2001,08/24/2001,C.O. ISSUED,101 MORGANFORD PL,35.69477019,-78.79923917
BR11,1,486,02/26/2001,08/29/2001,C.O. ISSUED,202 LINDEMANS DR,35.796764346,-78.88265241
BR11,1,548,02/26/2001,08/15/2001,C.O. ISSUED,200 LINDEMANS DR,35.796995036,-78.88260252
BR11,1,557,02/26/2001,08/06/2001,C.O. ISSUED,2013 AMBROSE PARK LN,35.694945496,-78.79325877
BR11,1,85,02/28/2001,03/25/2002,C.O. ISSUED,310 BELLES LANDING CT,35.818539526,-78.91072752
BR11,1,247,03/01/2001,02/21/2002,C.O. ISSUED,110 PANORAMIC CT,35.79244145,-78.88630232
BR11,1,582,03/01/2001,08/28/2001,C.O. ISSUED,112 DARBY GALE DR,35.707197727,-78.79905187
BR11,1,478,03/02/2001,09/12/2001,C.O. ISSUED,500 ALLENHURST PL,35.695606059,-78.80107662
BR11,1,572,03/02/2001,07/11/2001,C.O. ISSUED,210 LORD LEVENS LN,35.822790428,-78.86099166
BR11,1,622,03/02/2001,11/15/2001,C.O. ISSUED,104 TAVERNELLE PL,35.795257101,-78.88467606
BR11,1,627,03/02/2001,08/24/2001,C.O. ISSUED,701 RED TOP HILLS CT,35.811757436,-78.80690696
BR11,1,673,03/02/2001,08/24/2001,C.O. ISSUED,105 GALSWORTHY ST,35.69359234,-78.79175333
BR11,1,674,03/02/2001,08/05/2002,C.O. ISSUED,4404 TRILAND WAY,35.691332447,-78.79006556
BR11,1,675,03/02/2001,08/22/2001,C.O. ISSUED,2003 AMBROSE PARK LN,35.693979112,-78.79360597
BR11,1,81,03/05/2001,08/21/2001,C.O. ISSUED,702 ELLYNN DR,35.76969711,-78.77066793
BR11,1,553,03/05/2001,12/13/2002,C.O. ISSUED,306 BELLES LANDING CT,35.818350909,-78.91015228
BR11,1,635,03/05/2001,03/20/2002,C.O. ISSUED,104 DARBY GALE DR,35.708098729,-78.79884098
BR11,0,5018,03/06/2001,01/09/2002,C.O. ISSUED,307 QUEENSFERRY RD,35.752044889,-78.79465382
BR11,1,528,03/06/2001,08/22/2001,C.O. ISSUED,209 LINDEMANS DR,35.795808968,-78.88193248
BR11,1,695,03/07/2001,08/05/2002,C.O. ISSUED,4402 TRILAND WAY,35.69110967,-78.79008735
BR11,1,696,03/07/2001,08/24/2001,C.O. ISSUED,4504 TRILAND WAY,35.69222572,-78.78997838
BR11,1,604,03/08/2001,06/20/2001,C.O. ISSUED,310 KNOTTS VALLEY LN,35.807191562,-78.86852748
BR11,1,664,03/08/2001,08/28/2001,C.O. ISSUED,101 PARMALEE CT,35.807300216,-78.85804318
BR11,1,676,03/08/2001,08/05/2002,C.O. ISSUED,1004 AUGUSTINE TRL,35.694304967,-78.79398701
BR11,1,679,03/08/2001,03/26/2002,C.O. ISSUED,508 BRIARDALE AVE,35.796599117,-78.88031962
BR11,1,697,03/08/2001,08/13/2001,C.O. ISSUED,2006 AMBROSE PARK LN,35.694186157,-78.79281254
BR11,0,4822,03/09/2001,07/20/2001,C.O. ISSUED,419 HALLS MILL DR,35.768528911,-78.84917514
BR11,1,464,03/09/2001,03/14/2002,C.O. ISSUED,115 E CORNWALL RD,35.775614382,-78.78016494
BR11,1,612,03/12/2001,07/27/2001,C.O. ISSUED,113 GWINNETT PL,35.745684021,-78.75012952
BR11,1,284,03/13/2001,09/07/2001,C.O. ISSUED,1025 AUGUSTINE TRL,35.695330021,-78.79550393
BR11,1,477,03/13/2001,02/19/2002,C.O. ISSUED,301 WAYFIELD LN,35.69548447,-78.79992423
BR11,1,698,03/13/2001,02/06/2002,C.O. ISSUED,114 CUPOLA CHASE WAY,35.795832343,-78.86883093
BR11,1,692,03/14/2001,01/11/2002,C.O. ISSUED,110 HAMILTON HEDGE PL,35.823115987,-78.8619464
BR11,1,699,03/14/2001,11/18/2002,C.O. ISSUED,102 MARBLECREEK LN,35.796270809,-78.85071475
BR11,1,725,03/14/2001,07/27/2001,C.O. ISSUED,202 TICONDEROGA RD,35.794689094,-78.8684885
BR11,1,794,03/14/2001,10/02/2001,C.O. ISSUED,4406 TRILAND WAY,35.691555946,-78.79004376
BR11,1,804,03/14/2001,09/05/2001,C.O. ISSUED,2008 AMBROSE PARK LN,35.694358286,-78.79268923
BR11,1,475,03/15/2001,08/24/2001,C.O. ISSUED,116 TIMBER HITCH RD,35.795669745,-78.84070144
BR11,1,165,03/16/2001,07/02/2001,C.O. ISSUED,423 HALLS MILL DR,35.768502238,-78.84976356
BR11,1,375,03/16/2001,08/06/2002,C.O. ISSUED,415 HALLS MILL DR,35.768567201,-78.84865306
BR11,1,796,03/16/2001,10/05/2001,C.O. ISSUED,619 CANON GATE DR,35.70773225,-78.80005045
BR11,1,242,03/19/2001,03/25/2002,C.O. ISSUED,103 MORGANFORD PL,35.694508041,-78.79943605
BR11,1,765,03/20/2001,02/06/2002,C.O. ISSUED,117 CRAFTON PARK LN,35.795834718,-78.86703072
BR11,1,800,03/20/2001,12/11/2001,C.O. ISSUED,531 HICKORYWOOD BLV,35.793222455,-78.85635182
BR11,1,770,03/21/2001,07/02/2001,C.O. ISSUED,424 HALLS MILL DR,35.768884664,-78.84997519
BR11,1,785,03/21/2001,12/13/2001,C.O. ISSUED,203 LINDEMANS DR,35.796448421,-78.88180233
BR11,0,4428,03/22/2001,11/08/2001,C.O. ISSUED,504 SHERWOOD FOREST PL,35.770382334,-78.85116421
BR11,1,292,03/22/2001,02/06/2002,C.O. ISSUED,112 TIMBER HITCH RD,35.795767819,-78.84126149
BR11,1,811,03/22/2001,10/11/2001,C.O. ISSUED,209 DEVONHALL LN,35.709741076,-78.79824012
BR11,1,376,03/23/2001,07/27/2001,C.O. ISSUED,417 HALLS MILL DR,35.768543016,-78.84891942
